Statement,Actual (y),Predicted (ŷ)
"Congress organisational reshuffle: Give some, take some, Sonia Gandhi leaves both sides 'satisfied'",1,1
Wrong claims linking BJP leader Shyam Prakash Dwivedi to the Hathras incident is going viral on social forums,0,0
Monsoon Session begins in LS with obituary references to 15 members,1,1
Fact Check: Truth behind disturbing video of girls molestation,0,0
"'A scholar par excellence, a towering statesman': PM Modi pays tribute to Pranab Mukherjee",1,1
"Babri Masjid case: Congress must apologise for its conspiracy now, says Yogi Adityanath",1,1
"Coronavirus India Updates, August 30: Record over 10.5 lakh tests in a day takes total past 4.14 crore",1,1
Fact Check: Pakistan's former ISI DG Hamid Gul's son tweets misleading video of Kashmir,0,0
Laxmi Vilas hotel case: Rajasthan HC stays arrest warrant against Arun Shourie,1,1
Fake News Dj Vu: Video Of Jilted Man Mistaken For A Terrorist Goes...,0,0
Video of Flooded Mexico Airport Peddled As Hyderabad,0,0
'Committed to support creators in India till interim ban in place': TikTok CEO,1,1
Daughters have right over parental property even if father died prior to amended 2005 Act: SC,1,1
A Dummys Guide to the Vice-Presidents Election,1,0
"India, China can achieve peace by common Buddhist culture: Dalai Lama",1,1
The 2-year-old video is being circulated in the context of the Motor Vehicle Act.,0,0
"No, this video does not show Indian trucks on a train because diesel prices have gone up",0,0
'Desist from inciting communal tensions': India slams Pak over Ram temple remarks,1,1
"Prashant Bhushan moves SC, seeks review of its Re 1 punishment",1,1
Fact Check: Old doctored video blaming Modi for Pulwama resurfaces as Pakistanis left red-faced on Kashmir,0,0
Rajasthan: Minor girl gang-raped in Barmer case registered,1,1
"Maharashtra: From 7,000 domestic violence cases in a year before Covid, tally dips to 883 in last 6 months",1,1
An Old video of Gurjjar protests in Jammu showcased as recent brutalities on Muslims by the Indian Police,0,0
Rafale fighter jet to be key highlight at IAF's 88th anniversary celebrations PM Modi extends greetings,1,1
Beware Of This Fake Site Promising Employees' Provident Fund Benefits,0,0
Rave party at Vagator: Sunburn Klassique co-promoter arrested,1,1
"'Chinese firm continue to be sponsors of IPL, while people told to boycott their products': Omar Abdullah",1,1
"Modi Asks People To Do Only Those Things Theyve Mastery, Triggers Massive Anarchy",0,1
"Two JJP MLAs join Haryana farmer protests, one says, 'ready to resign if people ask me to'",1,1
"India, China foreign ministers reach five-point consensus agree to disengage, de-escalate situation at LAC",1,1
"Bihar poll run-up: Amid RJD flood focus, JDU hopes Rs 960-cr relief will address anger",1,1
Yogi Adityanath government announces higher penalty for traffic violations,1,1
"BJP wins 15 seats in Ladakh Hill Council polls, Congress improves tally to 9",0,1
Why RJD-Congress wont bring up India-China dispute in Bihar campaign,0,1
"Is Mitron, new rival to Tik Tok, really an Indian made app? Fact Check",0,0
Police summon ex-DGP Saini to join probe in Balwant Multani case,1,1
"No, shes not Indian army jawan guarding Rajasthan as claimed",0,0
Manjhi quits Grand Alliance,1,1
"COVID-19: India posts highest-ever single day recoveries of 56,383 in a single day",1,1
Hoax circulates online that an old Indian textbook lists treatments for COVID-19,0,0
Video Of Lathi-charge On Hindu Jagran Manch Resurfaces As Attack On...,0,0
"8 dead in fire at Ahmedabad COVID-19 hospital PM Modi expresses grief, announces Rs 2 Lakh ex gratia",1,1
'Absolutely Rubbish': Pranab Mukherjee's Office On Fake Quote On...,0,0
Fact Check: Viral video of teargas shelling is not from Kashmir but Jakarta,0,0
Chilling Video Of A Man Electrocuted Atop A Train Is Not From Mumbai,0,0
Farmers' anger against Bills based on misunderstanding: Dushyant Chautala,1,1
"Fact Check: No, Akshay Kumar never said this about Nathuram Godse",0,0
Palghar lynching case: CID files chargesheet against 126 accused,1,1
Old Photo From 2010 Dantewada Attack Resurfaces As Pulwama,0,0
President Kovind's Twitter Account Did Not Add 3 Million Followers In...,0,0
"India Today, Aaj Tak show footage of Rafale jets instead of Mirage 2000",0,0
Did Ben Garrison Draw a Cartoon on the Sorry State of the Indian Media? Read the Truth,0,0
"15-year-old Dalit girl ends life after 'rape', police 'inaction' in Bundelkhand",1,1
Modi in old photo of Kannada actor Rajkumar with Indira Gandhi? Fact Check,0,0
PM Narendra Modi gets thumbs up in Bihar even as Nitish remains unpopular,1,1
Fact Check: Photo of boy sleeping between 2 graves goes viral again,0,0
Sushma Swaraj Wasnt Allowed To Tour Foreign Countries Because I Wanted Her To Help Indians Distressed Abroad: Modi,0,1
BJP visits Governor at Raj Bhavan to demand CBI probe in Manish murder case,1,1
Gautam Gambhir did not say: My commentary is more important than the pollution control meeting,0,0
'Raise grievances in party forums': Punjab Congress to its members,1,1
Odisha passes Bill for stricter penalty for Covid rules violation,1,1
Congress leader misquotes BJP leader in rally video to criticise partys violent mentality,0,1
This Renewable Energy Trick May Bring Lasting Peace To Kashmir,0,1
"No, this video does not show a Hindu boy being attacked because he flew a saffron flag from his house in West Bengal",0,0
Fact Check: Man attacked with ink and slippers has no relation to either BJP or CAA,0,0
"Delhi needs to be prepared for 15,000 Covid cases per day during winter season: Report",1,1
"Ayodhya Trust plans to build 1,200 temple pillars by next March, finish first floor by 2022",1,1
Fact Check: Video of man being thrashed goes viral with communal spin,0,0
Photo That Claims To Show 'Real Face' Of Jawaharlal Nehru Is...,0,0
Did 158 Indian soldiers die in an attack by the Chinese army recently?,0,0
"Hyd-Vijayawada flight ticket costs Rs.50000 to Rs.1 lakh Despite trolls, NTV was right",0,1
TN Dalit woman panchayat chief forced to sit on floor,1,1
Chhajju Halwai Applies For The Post Of Delhi CM,0,1
Video of Texas teen spitting in tea bottle is not related to Coronavirus,0,0
Did Kapil Sibal ever say he wont allow Ram Mandir in his lifetime?,0,0
GDP to contract 4.5 in current FY due to impact of coronavirus: Centre agrees with IMF's prediction,1,1
"No one shouted slogans to kill RSS members in viral Muharram video, audio is fake",0,0
"India reports 70,496 new cases, 964 deaths tally breaches 69 lakh-mark",1,1
Fact Vs Fiction: Cop Dies During Bharat Bandh Old Pics Go Viral,0,0
Mob beats murder accused to death in presence of police in Uttar Pradesh's Kushinagar,1,1
"Coronavirus August 29 Updates: No local lockdowns outside containment zones without consulting Centre, MHA tells states",1,1
Coronavirus India Highlights: Himachal Pradesh CM Jairam Thakur tests positive,1,1
"Famous Urdu poet Rahat Indori dies of heart attack, was admitted to hospital after testing Covid positive",1,1
Major rivers in Bihar flowing above danger mark 30 blocks across 8 districts affected by floods,1,1
"Google Fails To Translate MCA Degree To Sanskrit, HRD Summons",0,1
Gujarat: Manavadar to get a riverfront,1,1
Fact Check: BrahMos launch video shared with false claims of failure,0,0
"Hathras gangrape: Those who think of harming women's self respect will be destroyed, says Yogi",1,1
Fact Check: Girl in viral pic with Rahul Gandhi is not the face of Jamia protests,0,0
Fake Alert: Jama Masjid Did Not Issue A Fatwa Against Tanishq,0,0
Fact check: Clickbait Facebook post on Covid-19 urging for shares gone viral,0,0
International flight operations to and fro India to remain suspended till July 15: DGCA,1,1
Fact Check: Is this the rare Nagapushpa flower that blooms once every 36 years?,0,0
"Protests Against Farm Laws: Day after he asked farmers to burn PM's effigy, Chaduni booked for 'promoting enmity'",1,1
"Fact Check: No, Brahmins didn't cut off girl's tongue in UP to stop coronavirus",0,0
Pranab Mukherjee's death huge loss for Sino-India friendship: China,1,1
"Bihar elections 2020: Raghuvansh Prasad Singh quits RJD, emotional Lalu asks him to stay back in party",1,1
Haryana women panel to document 100 women achievers of the state,1,1
"Covid-19 vaccine candidates: Dr Reddy's, Bharat Biotech, Bio E told to revise proposals for human trials",1,1
Centre discusses plans to distribute Covid vaccine,1,1
Maharashtra: State rolls out app to assist women facing domestic violence during pandemic,1,1
"With 1,365 new Covid-19 cases, Gujarat tally crosses 1.12 lakh death toll at 3,222",1,1
"Facing dissent within, Sonia offers to quit, sets off chorus of support for herself, Rahul",1,1
"No, these are not photos of Indian soldiers after a deadly Kashmir suicide attack",0,0
"Days after 18 die in plane crash, DGCA bans wide-body aircraft at Kozhikode airport during monsoon",1,1
UP government approves UP-Start-up Policy 2020 to promote fledging units in state,1,1
"Covid19: India follows 'Test, Track, Treat strategy,' tests nearly 3.7 crore",1,1
Fact Check: Truth behind this tree carved in the shape of a giant hand,0,0
Ayush ministry launches raw drug repository for medicinal plant cultivation,1,1
Solicitor General turns down plea to allow contempt case against Swara Bhasker,1,1
Bihar elections: RJD first list names 42 candidates,1,1
"With nearly 50k new cases, India's Coronavirus tally crosses 14 lakh-mark, death toll at 32,771",1,1
"Indian Navy submarine chased away, claims Pakistan Fact Check",0,0
"No, this is not a video of communal violence in Indias Rajasthan",0,0
"Renewal of International driving licence to become easier, Centre mulls changes in Motor Vehicles rules 1989",1,1
"Crucial CWC meet today Sonia Gandhi set to quit as Congress chief, Rahul, Priyanka reluctant to accept post",1,1
Fact Check: News about man who battered his wifes feet with a baseball bat after mistaking her snake print stockings for real snake is false.,0,0
World Doctors Alliance Video Repeats Debunked COVID-19 Conspiracies,0,0
Mock drill video from Bhagalpur made viral on social media as video of a cop a infected with Coronavirus,0,0
'Heading for constitutional crisis': Speaker moves SC against Rajasthan HC's order giving breather to Pilot camp,1,1
Seven Indians kidnapped in Libya in September released,1,1
BJP veterans LK Advani and Murli Manohar Joshi will not be present when a court in Uttar Pradesh announces its judgment in the Babri mosque case tomorrow.,1,1
119 more mandis added to e-NAM portal in Rajasthan,1,1
"RBSE class 10 supplementary exams: Results declared, check rajeduboard.rajasthan.gov.in.",1,0
Fact Check: Did Bajrang Dal conduct arms training for kids in a school campus owned by a BJP MLA?,0,0
Was the objectionable poster that declares Prime Minister Narendra Modi as the dracula of kashmir put up in Aligarh Muslim University?,0,0
Lok Sabha passes taxation bill,1,1
"No, this not a photo of a Muslim politician from the Indian National Congress party harassing a Hindu woman",0,0
"West Bengal: Man arrested with firearm in BJP rally, controversy erupts over his turban being pulled out",1,1
Fact Check: Why were these bank employees being transferred to an ambulance?,0,0
Maharashtra govt issues guidelines for restaurants which are set to reopen,1,1
"Modi govts Char Dham project in Uttarakhand gets an African facelift, except its not real",0,1
Video From Meerut Shared As Man Killed In Delhi Over Headphones Row,0,0
Fact Check: Did this SFI worker fake injuries after violence at JNU?,0,0
Indian Railways upgradation plan: AC coaches to replace general and sleeper coaches in high-speed trains,1,1
The Truth Behind This Viral Video Claiming Hindu School Kids Are Being ...,0,0
Fact Check: Did Aamir Khan meet Pakistani terrorists? Here is the truth,0,0
This video belongs to Muharram Procession held in Gopalganj Bihar in 2014. A separate audio from a protest in 2017 has been added to this video,0,0
Morphed Photo Shared To Claim Chandrababu Naidu Has Joined YSRCP,0,0
"India scoffs at China's new excuse for Ladakh stand-off, cites 3 reasons",1,1
Are Political Parties Leasing Twitter Handle From Celebs?,0,0
Old 2016 Video From Kanpur Shared As Bihar Train Accident,0,0
Football Hooliganism Being Shared As Muslims Rioting Other News You...,0,0
Private players to have freedom to set fare for trains run by them: Reports,1,1
Fact Check: Women's Day picture from Maharashtra goes viral with misleading claim,0,0
Delhi HC says no to stay on broadcast of Sudarshan programme,1,1
BJP faction closer to RSS trying to take advantage of Bengaluru violence to topple BSY: Siddaramaiah,1,1
"No, this is not a video of the Pakistan national flag being waved at a victory procession for an Indian political party",0,0
Message Claiming Facebook Will Take Over Your Photos Is A Hoax,0,0
"13-year-old raped, strangled to death in UP police deny as father alleges her eyes gouged, tongue cut",1,1
From No MoU Signed For The Bullet Train To Aliens In Vizag: News You...,0,0
India protests Pakistan's move to construct dam in Pakistan-occupied Kashmir,1,1
Indian-origin physician wins award for COVID-19 work in UK,1,1
Delhi Youth Congress Peddles Old Assault Video From Kuala Lumpur As...,0,0
Fact Check: How a US warship pushed Navy Day into a whirlpool of controversies,0,0
"No, this is not a real photo of a 'tsunami' of supporters for Indian Prime Minister Narendra Modi",0,0
Wrong dead poet? Top Indian politician's condolence tweet has been doctored,0,0
"PM Modi inaugurates Kosi Rail Mahasetu, slew of rail projects for Bihar slams slow progress under UPA",1,1
"Priyanka Gandhi launches attack on Mayawati, calls her 'unannounced spokesperson' of BJP",1,1
"Amidst Shutdown Rumours, Lakshmi Vilas Bank Files Police Complaint",0,1
Amnesty International halts India operation after government freezes its bank accounts,1,1
Fact Check: Do not believe this hoax about microchip implant in coronavirus vaccine,0,0
"Defence Minister Rajnath Singh discusses bilateral ties, regional security with Iranian counterpart",1,1
"DMK lacks leadership, will split after 2021 TN assembly polls, Karunanidhis son Alagiri says",0,1
Is this lion roaming free in Mumbai?,0,0
Agra: Bus with 34 passengers on board hijacked by members of finance company,1,1
Baba Ramdev Launches Swadeshi Porn After Patanjali Maggi,0,1
"Fact Check: Aishe Ghosh's hand injury is not shifting, the photo is morphed.",0,0
"Union Minister Dharmendra Pradhan tests Covid positive, admitted to hospital",1,1
Kozhikode flight tried to land once before final skid on runway,1,1
Kangana tells CM Uddhav his 'ego will be crushed' HC frowns upon BMC's intention over demolition work,1,1
Student goes back on rape charge in court,1,1
Assam to close-down all state-run madrassas from November: Himanta Biswa Sarma,1,1
India was in dire need of National Education Policy for last 34 years: Amit Shah,1,1
Parliament panel 'discussion' with Facebook to continue: Shashi Tharoor,1,1
'Bengaluru has become epicentre of terror activities': BJP MP Tejasvi Surya,1,1
US report says China 'stepped up aggressive policy' towards India under Xi,1,1
"Man donates plasma six times, highest in Haryana",1,1
"Mumbai boy fights cerebral palsy, dyslexia and dysarthria to crack CAT-2019",1,1
"No, The Girl Yodeling In A TV Show Is Not Kishore Kumar's",0,0
"Ahead of polls, Bihar BJP's culture wing releases posters seeking 'justice for Sushant Singh Rajput'",1,1
Pettimudi underlines why Kerala is the Petri dish for climate change and reckless development,1,1
"Fact Check: No, Konkan Railway didnt cancel train services due to landslide",0,0
"In a first, Indian Railways loads special parcel train to Bangladesh",1,1
Leopard kills 7-year-old girl in Gujarat's Dahod district,1,1
Fact Check: Did China seek UN mediation on border face-off with India?,0,0
Protesting Assam women attacked by Indian Army soldier? Fact Check,0,0
Fact Check: Old video of street brawl linked to Eid celebrations,0,0
"In poll run-up, echoes of Bihar in Lok Sabha",1,1
Video Of Protests In Spain Over COVID-19 Restrictions Peddled As,0,0
Fact Check: Image from 2016 Cauvery riots falsely circulated as that from recent Bengaluru violence,0,0
Fact Check: Truth behind video showing two men being thrashed in an office chamber,0,0
Fact Check: Did BJP MP from Kerala conduct his mother's funeral without revealing she died of Covid-19?,0,0
"After multiple setbacks, Ashok Gehlot Cabinet discusses Guv's 6 points on Assembly session at late-night meet",1,1
"Karnataka police seize 6,000 marijuana plants",1,1
"Babri Masjid case verdict: Special judge presided over trial since 2015, got 3 extensions",1,1
Government lost golden months in addressing coronavirus pandemic: Ghulam Nabi Azad in Parliament,1,1
EC issues revised guidelines for upcoming polls limits number of star campaigners,1,1
This rendition of the Indian national anthem was produced in August 2017 to mark Indias 71st Independence Day,0,1
Fact Check: Did Kerala gold smuggling case accused threaten to expose ministers?,0,0
"No, WHO did not list out these brain damaging habits Fact Check",0,0
Tablighi Jamaat event 'also' led to spread of virus among 'many persons': Government in Parliament,1,1
This photo does not show Indias national flag being burned in India  it's a 2015 Associated Press photo taken in Pakistan,0,0
Farmers to consider Capt Amarinder Singh's appeal for easing 'rail roko',1,1
"Heavy rain lashes Delhi-NCR waterlogging, traffic jams at several areas",1,1
Kerala Lottery Today Results announced: First prize is Rs 75 lakh!,1,1
The footage of Syed Ali Shah Geelani is actually from April 2018,0,0
Photos of Indian actress posing with a Pakistani flag on a film set have been shared without context,0,0
SWAMITVA scheme: PM Modi launches physical distribution of property cards 6 things to know,1,1
"3,648 new Covid cases take K'taka Covid tally over 67K",1,1
Fake News Nataka in Karnataka: News You Almost Believed,0,0
Fact Check: This viral audio clip on coronavirus is not Dr Devi Shetty's,0,0
46 Covid deaths reported in Punjab,1,1
"No, this video does not show the severed head of a man accused of rape in India",0,0
JK: Two LeT militants killed in gunfight at Anantnag 4 villagers injured in blast at site,1,1
Swami Agnivesh's body to be kept for final tributes by the public,1,1
Fact Check: Did Bipin Rawat seek Army chiefs dismissal over Ladakh crisis?,0,0
"Nitin Gadkari lays foundation stone for 13 highway projects, inaugurates road safety project in Manipur",1,1
Jitan Ram Manjhi meets Nitish Kumar amid speculations of return to NDA,1,1
"After Amit Shah, Karnataka CM BS Yediyurappa tests positive for Coronavirus, hospitalised",1,1
Is this how Chinese police is catching coronavirus patients?,0,0
Pictures Panch Tattva celebrations held in 2019 in Russia spread as deities quarantined in India,0,1
"India's Covid tally passes 68-lakh mark, recoveries cross 58-lakh mark",1,1
"Bihar elections: Stand firmly with Chirag's decisions, says Ram Vilas Paswan",1,1
Fact Check: Are coronavirus tests most expensive in India?,0,0
Fact Check: It's too early to predict a bubonic plague epidemic,0,0
"No, A Woman Did Not Give Birth To 17 Babies In The Same Pregnancy",0,0
Mock Drill At Amba Devi Temple In Maharashtra Passed Off As Army...,0,0
Interview: Haryana BKU Chief 'Dushyant Chautala should snap ties with ally BJP',1,0
WhatsApp Audio Clip Claiming India Will Go Into A Lockdown is FAKE !,0,0
"17-year-old girl raped, mutilated body found near dried-up pond 2nd case from UP district in 10 days",1,1
All you need to know about high-security registration plate and colour-coded stickers,1,0
"Punjab Cabinet nod for reformation of Vigilance Commission, 13 years after it was scrapped",1,1
The picture of a mentally ill woman is being circulated on social media labeled as being a picture of a child thief.,0,0
Uttar Pradesh: Vindhyachal temple in Mirzapur district reopens after 100 days,1,1
"Negligence, improper storage design led to disaster: Committee submits report on LG Polymer gas leak incident",1,1
Both the BJP Congress submit details of Electoral Bond donors after the Supreme Courts due date?,1,1
"Fake Quote Claims Shabana Azmi Said, 'If Modi Wins This Time I'll...",0,0
"What do alphabets E, S, Q, R, M on the Electoral Roll indicate?",1,0
"No, WikiLeaks Has Not Issued Names Of Indians With Black Money In...",0,0
A message to TMC rebels? Bengal CM Mamata Banerjee to hold mega rally in West Midnapore today,0,1
Fact Check: This is not Netaji Subhash Chandra Boses wife Emilie Schenkl,0,0
"No, Forbes Did Not Name Rahul Gandhi On A 'Most Educated Leaders' List",0,0
"Baba Ramdev doesnt find Indian style toilets in London, blames it on Sonia Gandhi",0,0
"Aarey metro car shed relocated to Kanjurmarg, land to be available free of cost: Uddhav Thackeray",1,1
"No, This Video Of A Drunk Man Dancing Is Not BJP MP Sudhanshu Trivedi",0,0
Villages of Arunachal Pradesh along the McMahon line are not getting vacated!,0,1
Singer SP Balasubrahmanyam passes away in Chennai hospital was admitted after testing positive for Covid,1,1
Four held for stealing 31 motorbikes in Rajkot,1,1
"No, Tagore Did Not Tweak Bose's Version Of The 'National Anthem'",0,0
Bihar Assembly elections: BJP expels nine rebels for contesting elections against NDA candidates,1,1
Attorney General dismisses contempt plea against Swara Bhasker for her remarks on SC's Ayodhya verdict,1,1
"UP BJP leader shot dead during morning walk, CM Yogi Adityanath orders probe",1,1
Priyanka Gandhi's Morphed Photo On An Old Ganga Image Viral With False ...,0,0
Fact Check: Viral video of Pope kissing feet of people has no relation to coronavirus,0,0
"India Coronavirus Updates, 16 August: Recovery rate at 71.9 devotees throng Vaishno Devi shrine",1,1
"Jignesh, JNU brigade assaulted in Begusarai? Fact check",0,0
Fact Check: This viral advisory on coronavirus has not been issued by the health ministry,0,0
Only Half the State parties submitted their audit contribution reports till date,1,1
This photo has circulated in reports since 2012 about an Indian Army banner in Ladakh,0,0
Does Rajkot Bus Stand Look Like A Swanky Airport?: A FactCheck,0,0
"Modis trip is not Indias first, many seaplane services took off in the past",0,1
"'Black day, black decision': Mehbooba Mufti tweets message after her release",1,0
"No, this is not a real photo of Indian opposition politicians waiting to meet Pakistan Prime Minister Imran Khan",0,0
More than 50 of the Income of National Parties in 2017-18 from Unknown Sources,1,1
"This is an old video of 2007 Gumda Bridge in Odisha. It is being circulated on social media that this video is about the demolition of the Takli Bridge, located on Bijapur-Solapur Highway.",0,0
Video showing rioting Muslims in West Bengal is actually from Bangladesh,0,0
AAP to restructure its Delhi unit at various levels: Gopal Rai,1,1
Are These East India Company Coins With Indian Gods Real?: A FactCheck,0,0
"No, this is not a video of the Indian Kashmir attack on February 14, 2019",0,0
Bihar Assembly elections to be held in three phases beginning on October 28 results on November 10,1,1
Man Who Slapped Hardik Patel Is Not An Aide Of Rahul Gandhi,0,0
This video shows a mock funeral procession during an anti-citizenship law protest in India in 2019,0,0
"No, this is not a video of Islamic terrorism in India",0,0
"Babri Masjid demolition: Advani, Joshi and Uma among all 32 cleared, court says no evidence",1,1
Is a Hindu woman being tortured in West-Bengal? Fact Check!,0,0
"No, this is not a genuine photo of Pakistani cricket players being frisked ahead of a match against India",0,0
Pak media share old house arrest video of Geelani as recent one,0,1
Wibs bread shut down after worker tests positive? Fact Check,0,0
100 patients break out of COVID care center in Assam,1,1
"Rahul Gandhi man of 'foreign mentality', should learn nationalism from nationalists: BJP MLA",1,1
Nizamuddin congregation takes a different twist as that of terrorists Fact Check,0,0
"PM Modi holds meeting with CMs of six states review preparedness to deal with S-W monsoon, flood situation",1,1
Fact Check: Netizens fall for parody account of Macron congratulating India on Rafale,0,0
Murshidabad Triple Murders: Image Of Prime Accused's Kin Viral With...,0,0
Modi to celebrate Karva Chauth with journalists from next year,0,1
Image From 2017 IAF Chopper Crash Passed Off As Recent Gadchiroli...,0,0
Will join farmers' protest outside Dushyant Chautala's house: Yogendra Yadav,1,1
"No, this video does not show police in Delhi blocking an ambulance to make way for the motorcade of Indias opposition party chief",0,0
"Did Mithun Chakraborty adopt a child, which he found in the dustbin? Fact Check!",0,0
Picture of CBI officer arrested in Delhi is being spread as DSP arrested in Kashmir Know the truth,0,0
'Farm Bills revolutionary Cong misleading farmers',1,1
"At the helm of protests in Punjab: A farmer's daughter, a security guard's daughter, a class IX dropout",1,1
"Theatre maestro Ebrahim Alkazi, first Director of National School of Drama, passes away",1,1
Fact Check: Is this Amit Shah touching the feet of Swami Nithyananda?,0,0
Fact Check: Viral photo of bling funeral is not of Kuwait's richest man,0,0
Fact Check: Did PM Modi send his chopper to ferry Dera chief Ram Rahim?,0,0
"5 yrs after IAS officer's death, Cong springs a surprise, fields wife in Karnataka bypoll",1,1
Chhattisgarh Police exhume girl's body months after her 'gangrape',1,1
Candid Arvind Kejriwal Video Revived With Misleading Context,0,0
"No, Sachin Tendulkar Did Not Say This About Prophet Mohammed",0,0
"Arvind Kejriwal demands CBI probe into Punjab hooch tragedy, death toll reaches 84",1,1
Fact Check: Is this boy kissing a girl publicly Sakshi Mishra's brother?,0,0
"Seated atop tractor, Navjot Singh Sidhu leads protest march against agri Bills",1,1
"No, This Is Not 'Naxal Bhabhi' Photographed With Bhim Army Chief",0,0
Defence Ministry gives clarification on allegation of PM Modi's visit to Leh Hospital as 'orchestrated',1,1
Telangana Police on alert as Maoists attempt to reestablish base,1,1
MOH has not issued Office Memo stating compulsory holiday in 4 states due to COVID-19,0,1
Fact Check: Do not click on this dubious web link to claim GST refund,0,0
"The incident of 2016 Akhnoor city in Jammu is being showcased and spread as a current incident by the nephew of Keshav Maurya, Deputy Chief Minister of Uttar Pradesh",0,1
"Fact Check: No, protesters didnt storm the White House against George Floyds death",0,0
French ambassador says country to announce exceptional package for India to fight COVID-19,1,1
"Pranab Mukherjee's health remains critical, still on ventilator support: Hospital",1,1
FactCheck Alert: From Yellow Line Rule That Lets You Avoid Toll To...,0,0
Did Rana Ayyub gave a controversial statement in favour of child rapists? Fact Check!,0,0
3 members of a family killed in Pakistani shelling,1,1
"No, This Is Not Gurmehar Kaur Dancing On The Campaign Trail In...",0,0
Two Unrelated Videos Were Shared Together To Falsely Claim Muslims...,0,0
"No, 21 Sikh regiment did not refuse to fight for India, and Republic TV never reported it",0,0
"No let up in Assam, Bihar flood fury nearly 37 lakh people affected",1,1
Fact Check: This video has nothing to do with anti-CAA stir in Uttar Pradesh,0,0
"India Against Corruption movement, AAP propped by RSS-BJP to bring down UPA govt: Rahul",1,1
Video Of Nirmala Sitharaman Touch The Feet Of Slain Jawan's Mother...,0,0
"No, this is not a video of a mob destroying voting machines in Indias 2019 election",0,0
Fact Check: This kidnapping drama is not what it seems,0,0
"No, this video does not show an Indian National Congress politicians trousers falling down while he gives a speech",0,0
Fact Check: Viral video of beggar pretending to be disabled is not from India but Pakistan,0,0
"No, These Pics Don't Show Sweets Being Dumped By RJD's Patna Office",0,0
Delhi: Doctors remove 50 kg ovarian tumour from 52-year-old woman in 3.5 hours,1,1
"Fact Check: Did Ivanka cite Bihar girl who cycled 1,200 kms to hit out at critics?",0,0
Fact Check: Netizens fight over this stunning waterfall. Heres the truth,0,0
Central Government constitutes National Council for Transgender Persons,1,1
"Fact Check: No, ICMR hasnt prescribed this drug to prevent Covid-19",0,0
New hoax circulates online that India has outlawed social media posts about COVID-19,0,0
Indian Navy sets up Naval Innovation and Indigenisation Organisation,1,1
"AAP Team Gatecrashes Into Cong-BJP Kabaddi Match, Melee Ensues",0,1
Ancient Indians most likely did not predict the arrival of bicycle,0,0
Zomato employees burn t-shirts to mark protest against Chinese investment in firm,1,1
"Haryana says changes made in procurement process for ease of farmers, millers",1,1
"During surprise visit to Ladakh, PM Modi tells China ""era of expansionism is over",1,1
"Lakhimpur Kheri: Ex-MLA dies during clash two arrested, CO removed",1,1
Fact Check: Viral video showing cattle being washed away in floodwaters is not from Kerala's Wayanad,0,0
"Civilian injured in Pakistan shelling, succumbs to his injuries in J-K's Poonch district",1,1
"CRPF jawan, civilian killed after terrorists attack patrol party in J-K's Sopore 2 soldiers critical",1,1
This photo actually shows a child at an International Womens Day event in India,0,0
Quite hurt with the kind of words used against me: Sachin Pilot,1,0
"Did Multiple BJP Candidates Get Identical Votes of 2,11,820?",0,0
"India records single-day spike of 49,310 Coronavirus cases, tally nears 13 lakh",1,1
Nayak Movie Banned Because Amrish Puris Accomplice Looks Similar To Amit Shah,0,1
"No, This Is Not One Of The Sri Lankan Suicide Bombers Pictured With...",0,0
'Lord Ram's teachings should become symbol of national unity': Priyanka Gandhi welcomes Bhumi Pujan ceremony,1,1
Did a doctor hit a patient ruthlessly in Jabalpur Medical College ? Fact Check!,0,0
Fact Check: Modi's old tweet about a friend's death goes viral linking it with Maharashtra,0,0
"BJP member booked for allegedly posting objectionable tweets against Uddhav Thackeray, son",0,1
Bihar Minister Shares Photo From Hyderabad To Show Development In,0,1
"Indian mom survives Covid-19, delivers baby in UAE",1,1
'Delhi education model has made history': Arvind Kejriwal on Class 12th CBSE results,1,1
Viral Fake Videos That Were NOT From World Cup 2018,0,0
Left parties likely to have alliance with RJD for Bihar polls,1,1
Harsimrat Kaur resigns from Union Cabinet over farm Bills,1,1
Surat: Two more held in Rs 1.33 cr banned drug seizure case,1,1
"No, Shivraj Singh Chouhan Did Not Fake A Fractured Arm",0,0
Whats Rahul Gandhis birth time nurse Rajammas age? Fact check,0,0
Fact Check: Video of sword-wielding men slashing youth goes viral with communal spin,0,0
Fact Check: Co-workers prank goes viral with deadly claim,0,0
"No, this is not a video of Indian war planes striking targets in Pakistan",0,0
Video Of TMC MP Nusrat Jahan Performing Traditional Durga Puja Dance?...,0,0
"No, this video does not show supporters of Indias ruling party tearing down a statue of the countrys first law minister",0,0
Govt to modify salary structure of contractual workers under NHM,1,1
When 480 candidates contested from Nalgonda,1,1
Vaishnodevi pilgrimage to resume on Sunday after remaining suspended for 5 months,1,1
Anandiben Patel holds additional charge as acting Governor of Madhya Pradesh,1,1
"Narmada dam to see cutback in inflow: Areas of Ankleshwar flooded, 500 evacuated",1,1
Maharashtra: Sugar mills now want state govt to buy power at higher rates,1,1
CBI questions Rhea Chakraborty for first time in Sushant Singh Rajput death case,1,1
More trouble for Arnab Goswami as Mumbai Crime Branch summons top Republic TV official,1,1
Fact check- Fictitious Facebook post with unrelated picture looks for shares with emotional Covid-19 story,0,0
Viral Hoax Claims Weapons Seized From Mosques In JK,0,0
